PulseNo,TotalArea,TailArea,Classification
1,7818,7326,Neutron
2,2376,2160,Neutron
3,4158,1558,Gamma
4,3712,1113,Gamma
5,3712,1384,Gamma
6,16524,6350,Gamma
7,2874,884,Gamma
8,6808,4653,Neutron
9,10680,8760,Neutron
10,10220,7154,Neutron
11,12982,11124,Neutron
12,8560,8248,Neutron
13,8650,8556,Neutron
14,6066,4640,Neutron
15,6636,5539,Neutron
16,6466,5228,Neutron
17,9908,9712,Neutron
18,7916,7766,Neutron
19,3318,3245,Neutron
20,3444,374,Gamma
21,8762,5940,Neutron
22,12530,5008,Gamma
23,14332,9833,Neutron
24,11818,9772,Neutron
25,4934,3086,Neutron
26,8608,6850,Neutron
27,3860,850,Gamma
28,3860,3390,Neutron
29,4278,440,Gamma
30,4278,4140,Neutron
31,2440,776,Gamma
32,7102,5489,Neutron
33,4656,4447,Neutron
34,5964,314,Gamma
35,7848,1036,Gamma
36,9708,7539,Neutron
37,9410,6052,Neutron
38,13484,8530,Neutron
39,10590,7512,Neutron
40,10352,8966,Neutron
41,4314,2690,Neutron
42,13540,11198,Neutron
43,7544,6538,Neutron
44,3586,3266,Neutron
45,9242,6085,Neutron
46,23270,8466,Gamma
47,6340,4630,Neutron
48,8660,7990,Neutron
49,3976,1486,Gamma
50,9518,5824,Neutron
51,5168,4774,Neutron
52,8268,7884,Neutron
53,3500,3092,Neutron
54,5338,1174,Gamma
55,3416,222,Gamma
56,10510,8240,Neutron
57,10072,7580,Neutron
58,3702,622,Gamma
59,8592,6132,Neutron
60,8856,7328,Neutron
61,13840,12976,Neutron
62,8962,8778,Neutron
63,11402,11342,Neutron
64,3194,148,Gamma
65,2902,256,Gamma
66,3880,1451,Gamma
67,10404,7702,Neutron
68,9818,8044,Neutron
69,14902,13287,Neutron
70,11858,11320,Neutron
71,5438,1668,Gamma
72,8296,5102,Neutron
73,3818,1049,Gamma
74,11850,9778,Neutron
75,12556,10842,Neutron
76,12556,11022,Neutron
77,9676,7692,Neutron
78,5408,5060,Neutron
79,11810,3860,Gamma
80,8200,3036,Gamma
81,15838,10141,Neutron
82,7758,6654,Neutron
83,4444,3822,Neutron
84,9832,9724,Neutron
85,3616,723,Gamma
86,4808,1364,Gamma
87,4188,3928,Neutron
88,9202,6770,Neutron
89,12266,10464,Neutron
90,12266,9844,Neutron
91,9884,7926,Neutron
92,7552,6532,Neutron
93,8192,6279,Neutron
94,6082,1007,Gamma
95,8754,5383,Neutron
96,9140,6570,Neutron
97,6284,3922,Neutron
98,5334,3722,Neutron
99,7808,6142,Neutron
100,11964,8575,Neutron
101,5290,4172,Neutron
102,10294,9230,Neutron
103,4420,3868,Neutron
104,15500,6152,Gamma
105,10588,8124,Neutron
106,13818,10262,Neutron
107,13678,9180,Neutron
108,11918,9986,Neutron
109,10234,8136,Neutron
110,7384,5084,Neutron
111,11618,10904,Neutron
112,4704,4290,Neutron
113,3688,766,Gamma
114,6184,2386,Gamma
115,6452,4056,Neutron
116,7214,5248,Neutron
117,11506,9812,Neutron
118,6258,4588,Neutron
119,12362,10536,Neutron
120,9068,7184,Neutron
121,3010,1916,Neutron
122,6108,5792,Neutron
123,3156,469,Gamma
124,9192,7926,Neutron
125,15528,9405,Neutron
126,9928,9074,Neutron
127,3138,890,Gamma
128,12260,9970,Neutron
129,12044,8964,Neutron
130,9152,9052,Neutron
131,3600,634,Gamma
132,10274,7490,Neutron
133,4370,587,Gamma
134,6084,4162,Neutron
135,9178,7620,Neutron
136,4146,3806,Neutron
137,3842,3684,Neutron
138,5462,1172,Gamma
139,7144,5812,Neutron
140,6448,4661,Neutron
141,12368,11646,Neutron
142,6714,1392,Gamma
143,5196,1578,Gamma
144,10832,7691,Neutron
145,2806,1098,Gamma
146,9006,6932,Neutron
