PulseNo,TotalArea,TailArea,Classification
1,7616,4568,Neutron
2,7616,4584,Neutron
3,7616,4860,Neutron
4,7616,4548,Neutron
5,7616,4344,Neutron
6,7616,3584,Neutron
7,7616,4388,Neutron
8,7616,2960,Gamma
9,7616,3452,Neutron
10,7616,3544,Neutron
11,7616,3360,Gamma
12,7616,4360,Neutron
13,7616,4396,Neutron
14,7616,2840,Gamma
15,7616,4104,Neutron
16,7616,4656,Neutron
17,7616,3344,Gamma
18,7616,3592,Neutron
19,7616,4800,Neutron
20,7616,4176,Neutron
21,7616,4552,Neutron
22,7616,3408,Gamma
23,7616,3328,Gamma
24,7616,4672,Neutron
25,7616,4544,Neutron
26,3848,1616,Gamma
27,3848,1768,Neutron
28,3848,1616,Gamma
29,3848,1832,Neutron
30,3848,1960,Neutron
31,3848,1788,Neutron
32,3848,2528,Neutron
33,3848,2328,Neutron
34,3848,1820,Neutron
35,3848,2472,Neutron
36,3848,1864,Neutron
37,3848,1632,Gamma
38,3848,1728,Gamma
39,3848,1488,Gamma
40,3848,1664,Gamma
41,3848,1856,Neutron
42,3848,1752,Neutron
43,3848,2148,Neutron
44,3848,2280,Neutron
45,3848,1716,Gamma
46,3848,1880,Neutron
47,3848,1644,Gamma
48,3848,1760,Neutron
49,3848,1848,Neutron
50,3848,2520,Neutron
51,3848,2320,Neutron
52,3848,2448,Neutron
53,3848,1712,Gamma
54,3848,2056,Neutron
55,2744,1416,Neutron
56,2744,1168,Gamma
57,2744,1132,Gamma
58,2744,1376,Neutron
59,2744,1112,Gamma
60,2744,1100,Gamma
61,2744,1368,Neutron
62,2744,1276,Neutron
63,2744,1244,Neutron
64,2744,1240,Neutron
65,2744,1168,Gamma
66,2744,1396,Neutron
67,2744,1276,Neutron
68,2744,1056,Gamma
69,2744,1252,Neutron
70,2744,1600,Neutron
71,2744,1440,Neutron
72,2744,1360,Neutron
73,2744,1440,Neutron
74,2744,1296,Neutron
75,2744,1480,Neutron
76,2744,1336,Neutron
77,2744,1656,Neutron
78,2744,1232,Gamma
79,2744,1360,Neutron
80,2744,1176,Gamma
81,2744,1440,Neutron
82,2744,1360,Neutron
83,2744,1108,Gamma
84,2744,1408,Neutron
85,2744,1564,Neutron
86,2744,1440,Neutron
87,2744,1408,Neutron
88,2744,1280,Neutron
89,2744,1768,Neutron
90,2744,1276,Neutron
91,2488,1168,Neutron
92,2488,1144,Neutron
93,2488,1224,Neutron
94,2488,1080,Gamma
95,2488,1240,Neutron
96,2488,1016,Gamma
97,2488,1184,Neutron
98,2488,1136,Neutron
99,2488,1256,Neutron
100,2488,1232,Neutron
101,2488,1232,Neutron
102,2488,1320,Neutron
103,2488,1144,Neutron
104,2488,1000,Gamma
105,2488,1000,Gamma
106,2488,1296,Neutron
107,2488,1144,Neutron
108,2488,1088,Gamma
109,2488,1192,Neutron
110,2488,1056,Gamma
111,2488,1280,Neutron
112,2488,1272,Neutron
113,2488,1064,Gamma
114,2488,1096,Gamma
115,2488,1648,Neutron
116,2488,992,Gamma
117,2488,1004,Gamma
118,2488,1240,Neutron
119,2488,1296,Neutron
120,2488,1040,Gamma
121,2488,1120,Neutron
122,2488,1280,Neutron
123,2488,1104,Gamma
124,2488,1128,Neutron
125,2488,1096,Gamma
126,2488,1216,Neutron
127,2488,1080,Gamma
128,2488,1040,Gamma
129,2488,1128,Neutron
130,2488,1328,Neutron
131,2488,1104,Gamma
132,2488,1160,Neutron
133,2488,1080,Gamma
134,2488,1228,Neutron
135,2488,1256,Neutron
136,2488,1144,Neutron
137,2488,1020,Gamma
138,2488,1168,Neutron
139,2488,1216,Neutron
140,2488,1088,Gamma
141,2488,1216,Neutron
142,2488,1288,Neutron
143,2488,1200,Neutron
144,2488,1168,Neutron
145,2488,1176,Neutron
146,1256,816,Neutron
147,1256,628,Neutron
148,1256,552,Gamma
149,1256,760,Neutron
150,1256,740,Neutron
151,1256,576,Neutron
152,1256,608,Neutron
153,1256,584,Neutron
154,1256,664,Neutron
155,1256,712,Neutron
156,1256,720,Neutron
157,1256,600,Neutron
158,1256,696,Neutron
159,1256,576,Neutron
160,1256,616,Neutron
161,1256,640,Neutron
162,1256,584,Neutron
163,1256,536,Gamma
164,1256,640,Neutron
165,1256,552,Gamma
166,1256,560,Gamma
167,1256,600,Neutron
168,1256,720,Neutron
169,1256,592,Neutron
170,1256,768,Neutron
171,1256,552,Gamma
172,1256,680,Neutron
173,1256,752,Neutron
174,1256,696,Neutron
175,1256,532,Gamma
176,1256,592,Neutron
177,1256,720,Neutron
178,1256,688,Neutron
179,1256,700,Neutron
180,1256,576,Neutron
181,1256,480,Gamma
182,1256,528,Gamma
183,1256,576,Neutron
184,1256,564,Gamma
185,1256,460,Gamma
186,1256,576,Neutron
187,1256,608,Neutron
188,1256,672,Neutron
189,1256,472,Gamma
190,1256,608,Neutron
191,1256,560,Gamma
192,1256,556,Gamma
193,1256,748,Neutron
194,1256,552,Gamma
195,1256,608,Neutron
196,1256,648,Neutron
197,1256,608,Neutron
198,1256,588,Neutron
199,1256,704,Neutron
200,1256,600,Neutron
201,1256,612,Neutron
202,1256,616,Neutron
203,1256,648,Neutron
204,1256,596,Neutron
205,1256,728,Neutron
206,1256,688,Neutron
207,1256,560,Gamma
208,1256,720,Neutron
209,1256,752,Neutron
210,1256,508,Gamma
211,1256,624,Neutron
212,1256,700,Neutron
213,1256,752,Neutron
214,1256,496,Gamma
215,1256,584,Neutron
216,1256,480,Gamma
217,1256,512,Gamma
218,1256,656,Neutron
219,1256,676,Neutron
220,1256,504,Gamma
221,1256,560,Gamma
222,1256,620,Neutron
223,1256,664,Neutron
224,1256,568,Neutron
225,1256,584,Neutron
226,1256,608,Neutron
227,1256,508,Gamma
228,1256,504,Gamma
229,1256,528,Gamma
230,1256,596,Neutron
231,1256,708,Neutron
232,1256,596,Neutron
233,1256,728,Neutron
234,1256,636,Neutron
235,1256,636,Neutron
236,1256,752,Neutron
237,1256,696,Neutron
238,1256,652,Neutron
239,1256,576,Neutron
240,1256,884,Neutron
241,1256,528,Gamma
242,1256,732,Neutron
243,1256,608,Neutron
244,1256,536,Gamma
245,1256,556,Gamma
246,1256,704,Neutron
247,1256,720,Neutron
248,1256,648,Neutron
249,1256,672,Neutron
250,1256,616,Neutron
251,1256,740,Neutron
252,1256,720,Neutron
253,1256,628,Neutron
254,1256,656,Neutron
255,1256,552,Gamma
256,1256,672,Neutron
257,1256,532,Gamma
258,1256,580,Neutron
259,1256,616,Neutron
260,1256,592,Neutron
261,1256,736,Neutron
262,1256,604,Neutron
263,1256,560,Gamma
264,1256,600,Neutron
265,1256,564,Gamma
266,1256,528,Gamma
267,1256,560,Gamma
268,1256,528,Gamma
269,1256,576,Neutron
270,1256,668,Neutron
271,1256,508,Gamma
272,1256,704,Neutron
273,1256,544,Gamma
274,1256,600,Neutron
275,1256,504,Gamma
276,1256,624,Neutron
277,1256,656,Neutron
278,1256,720,Neutron
279,1256,560,Gamma
280,1256,672,Neutron
281,1256,692,Neutron
282,1256,592,Neutron
