PulseNo,TotalArea,TailArea,Classification
1,17072,12752,Neutron
2,6616,5272,Neutron
3,6616,5888,Neutron
4,6616,5232,Neutron
5,6616,5376,Neutron
6,6616,5736,Neutron
7,6616,5088,Neutron
8,6616,3136,Gamma
9,6616,6080,Neutron
10,6616,4576,Neutron
11,6616,5264,Neutron
12,6616,5016,Neutron
13,6616,5788,Neutron
14,4816,3936,Neutron
15,4816,4376,Neutron
16,4816,4072,Neutron
17,4816,4376,Neutron
18,4816,4456,Neutron
19,4816,2336,Gamma
20,4816,4536,Neutron
21,4816,2524,Neutron
22,4816,4344,Neutron
23,4816,3912,Neutron
24,4816,2280,Gamma
25,4816,4144,Neutron
26,4816,2344,Gamma
27,3312,2928,Neutron
28,3312,2776,Neutron
29,3312,2888,Neutron
30,3312,3008,Neutron
31,3312,1792,Neutron
32,2592,2296,Neutron
33,2592,2152,Neutron
34,2592,1360,Neutron
35,2592,1204,Gamma
36,2592,1408,Neutron
37,5904,5512,Neutron
38,5904,5448,Neutron
39,5904,4752,Neutron
40,5904,5388,Neutron
41,5904,4960,Neutron
42,5904,5416,Neutron
43,5904,5360,Neutron
44,5904,5376,Neutron
45,5904,5364,Neutron
46,5904,5400,Neutron
47,5712,5184,Neutron
48,5712,5208,Neutron
49,5712,4664,Neutron
50,5712,5164,Neutron
51,5712,5296,Neutron
52,5712,5304,Neutron
53,5712,5120,Neutron
54,5712,4980,Neutron
55,5712,5416,Neutron
56,5712,5112,Neutron
57,5712,5072,Neutron
58,5712,5088,Neutron
59,5712,5044,Neutron
60,5712,4380,Neutron
61,5712,5248,Neutron
62,3344,2960,Neutron
63,3344,1564,Gamma
64,3344,1712,Neutron
65,17704,13164,Neutron
66,6032,4920,Neutron
67,6032,5316,Neutron
68,6032,3576,Neutron
69,6032,4240,Neutron
70,6032,4888,Neutron
71,6032,5568,Neutron
72,6032,5472,Neutron
73,6032,5208,Neutron
74,6032,5008,Neutron
75,6032,2892,Gamma
76,6032,5120,Neutron
77,9664,7480,Neutron
78,9664,6328,Neutron
79,4040,3508,Neutron
80,4040,2612,Neutron
81,4040,3536,Neutron
82,4040,3616,Neutron
83,4040,3640,Neutron
84,14360,11152,Neutron
85,14360,11504,Neutron
86,7392,4784,Neutron
87,7392,6800,Neutron
88,7392,5392,Neutron
89,7392,5168,Neutron
90,7392,5224,Neutron
91,7392,5708,Neutron
92,7392,6048,Neutron
93,5840,5120,Neutron
94,5840,5048,Neutron
95,5840,5368,Neutron
96,5840,5432,Neutron
97,5840,5392,Neutron
98,5840,4344,Neutron
99,5840,5308,Neutron
100,5840,5048,Neutron
101,5840,5380,Neutron
102,5840,4088,Neutron
103,4296,3156,Neutron
104,4296,3488,Neutron
105,4296,3948,Neutron
106,5472,4964,Neutron
107,5472,4884,Neutron
108,5472,4024,Neutron
109,5472,4632,Neutron
110,5472,5024,Neutron
111,5472,5088,Neutron
112,5472,4720,Neutron
113,5472,5044,Neutron
114,5472,4304,Neutron
115,5472,4624,Neutron
116,5472,4960,Neutron
117,5472,4864,Neutron
118,5472,4544,Neutron
119,5472,4232,Neutron
120,4136,3740,Neutron
121,4136,3120,Neutron
122,4136,3808,Neutron
123,4136,3680,Neutron
124,4136,3636,Neutron
125,5416,4984,Neutron
126,5416,4544,Neutron
127,5416,4884,Neutron
128,5416,4720,Neutron
129,5416,4752,Neutron
130,5416,4248,Neutron
131,5416,4504,Neutron
132,5416,4944,Neutron
133,5416,4888,Neutron
134,5416,4684,Neutron
135,5416,5056,Neutron
136,5416,4688,Neutron
137,5416,4784,Neutron
138,5416,4424,Neutron
139,5416,4624,Neutron
140,4152,3808,Neutron
141,4152,3744,Neutron
142,4152,3612,Neutron
143,4152,2184,Neutron
144,4152,2084,Neutron
145,4152,3280,Neutron
146,4152,2968,Neutron
147,4152,2924,Neutron
148,4872,3468,Neutron
149,4872,2656,Neutron
150,4872,4232,Neutron
151,4872,4440,Neutron
152,4872,4488,Neutron
153,4872,4440,Neutron
154,4872,4536,Neutron
155,4872,2388,Gamma
156,4872,4292,Neutron
157,4872,4380,Neutron
158,4872,4028,Neutron
159,4872,4536,Neutron
160,4872,4388,Neutron
161,4872,4448,Neutron
162,4112,2952,Neutron
163,4112,2256,Neutron
164,4112,3664,Neutron
165,4112,2084,Neutron
166,4112,3584,Neutron
167,4112,3656,Neutron
168,4112,3656,Neutron
169,4112,2040,Gamma
170,4112,3528,Neutron
171,4112,3732,Neutron
172,4112,3440,Neutron
173,10368,7640,Neutron
174,10368,8196,Neutron
175,9152,6720,Neutron
176,9152,7968,Neutron
177,9152,4416,Gamma
178,9152,7568,Neutron
179,9152,7896,Neutron
180,9152,6088,Neutron
181,9152,7152,Neutron
182,9152,6480,Neutron
183,9152,3832,Gamma
184,5576,3636,Neutron
185,5576,3292,Neutron
186,5576,4812,Neutron
187,5576,5180,Neutron
188,5576,4880,Neutron
189,5576,4072,Neutron
190,5576,4976,Neutron
191,2608,2260,Neutron
192,2608,1384,Neutron
193,2608,1504,Neutron
194,2608,1304,Neutron
195,2608,1460,Neutron
196,2608,1384,Neutron
197,2608,2252,Neutron
198,14456,8916,Neutron
199,14456,9584,Neutron
200,14456,9096,Neutron
201,5728,5280,Neutron
202,5728,5048,Neutron
203,5728,4552,Neutron
204,5728,2732,Gamma
205,5728,5104,Neutron
206,5728,5256,Neutron
207,5728,5000,Neutron
208,5728,5040,Neutron
209,5728,4952,Neutron
210,7664,6372,Neutron
211,7664,5416,Neutron
212,7664,5880,Neutron
213,7664,5360,Neutron
214,13520,10420,Neutron
215,13520,9392,Neutron
216,8472,6976,Neutron
217,8472,7040,Neutron
218,8472,8032,Neutron
219,8472,3744,Gamma
220,5784,3848,Neutron
221,5784,5368,Neutron
222,5784,5152,Neutron
223,5784,5456,Neutron
224,5784,3164,Neutron
225,5784,4712,Neutron
226,5784,4328,Neutron
227,5784,4696,Neutron
228,5784,5296,Neutron
229,5784,4848,Neutron
230,5784,5384,Neutron
231,5784,3296,Neutron
232,5784,5280,Neutron
233,5784,2956,Neutron
234,4824,4080,Neutron
235,4824,4384,Neutron
236,4824,4320,Neutron
237,4824,3392,Neutron
238,4824,2624,Neutron
239,4824,4028,Neutron
240,4824,4440,Neutron
241,4824,4408,Neutron
242,4824,3436,Neutron
243,6720,5040,Neutron
244,6720,5728,Neutron
245,6720,4984,Neutron
246,6720,5992,Neutron
247,6720,5584,Neutron
248,6720,3168,Gamma
249,6720,5960,Neutron
250,6720,5584,Neutron
251,3376,2564,Neutron
252,3376,1716,Neutron
253,3376,2984,Neutron
254,3376,2960,Neutron
255,11096,5892,Neutron
256,11096,7532,Neutron
257,11096,7528,Neutron
258,11096,4400,Gamma
259,11096,8488,Neutron
260,2792,2432,Neutron
261,2792,2004,Neutron
262,2792,1432,Neutron
263,2792,2352,Neutron
264,2792,1460,Neutron
265,2792,2464,Neutron
266,2792,2432,Neutron
267,2792,1728,Neutron
268,16800,13160,Neutron
269,16800,13456,Neutron
270,16800,12744,Neutron
271,3704,3148,Neutron
272,3704,2512,Neutron
273,3704,2176,Neutron
274,3704,3144,Neutron
275,3704,3288,Neutron
276,3704,3188,Neutron
277,3704,3240,Neutron
278,10176,6512,Neutron
279,5752,4928,Neutron
280,5752,5212,Neutron
281,5752,4824,Neutron
282,5752,4756,Neutron
283,5752,4888,Neutron
284,5752,2832,Gamma
285,5752,5144,Neutron
286,5752,5312,Neutron
287,5752,5272,Neutron
288,12664,8320,Neutron
289,12664,9356,Neutron
290,12664,10168,Neutron
291,10688,6680,Neutron
292,10688,6024,Neutron
293,10688,7256,Neutron
294,4704,4292,Neutron
295,4704,2168,Gamma
296,4704,2272,Gamma
297,4704,3072,Neutron
298,4704,4256,Neutron
299,4704,3972,Neutron
300,4704,3556,Neutron
301,4704,2328,Gamma
302,4704,4360,Neutron
303,4704,2412,Neutron
304,4704,4180,Neutron
305,4704,3944,Neutron
306,4704,2444,Neutron
307,5488,4920,Neutron
308,5488,2936,Neutron
309,5488,4904,Neutron
310,5488,2496,Gamma
311,5488,4416,Neutron
312,5488,4440,Neutron
313,5488,5152,Neutron
314,5488,4668,Neutron
315,5488,5068,Neutron
316,13544,10700,Neutron
317,13544,10696,Neutron
318,4048,3280,Neutron
319,4048,2928,Neutron
320,4048,3512,Neutron
321,4048,3576,Neutron
322,4048,3696,Neutron
323,4048,3656,Neutron
324,4048,3316,Neutron
325,4048,3592,Neutron
326,4048,3648,Neutron
327,4048,1884,Gamma
328,4048,3680,Neutron
329,7408,5112,Neutron
330,7408,6600,Neutron
331,7408,6552,Neutron
332,7408,6208,Neutron
333,7408,4340,Neutron
334,7408,5388,Neutron
335,7408,6168,Neutron
336,7408,6076,Neutron
337,7408,6384,Neutron
338,7408,5480,Neutron
339,7408,6168,Neutron
340,2960,2576,Neutron
341,2960,1624,Neutron
342,2960,2512,Neutron
343,2960,1372,Gamma
344,2960,1628,Neutron
345,5760,5016,Neutron
346,5760,5320,Neutron
347,5760,4796,Neutron
348,5760,5392,Neutron
349,5760,5024,Neutron
350,5760,5252,Neutron
351,5760,4416,Neutron
352,5760,5224,Neutron
353,5760,4728,Neutron
354,5760,2512,Gamma
355,5760,5208,Neutron
356,3568,3136,Neutron
357,3568,1784,Neutron
358,3568,3236,Neutron
359,3568,1472,Gamma
360,9496,7092,Neutron
361,9496,8340,Neutron
362,9496,7664,Neutron
363,9496,7800,Neutron
364,9496,7432,Neutron
365,3808,3256,Neutron
366,3808,3376,Neutron
367,3808,3328,Neutron
368,2928,2584,Neutron
369,2928,2120,Neutron
