PulseNo,TotalArea,TailArea,Classification
1,7616,4584,Neutron
2,7616,4860,Neutron
3,7616,2960,Gamma
4,7616,2840,Gamma
5,7616,4656,Neutron
6,7616,4800,Neutron
7,7616,4672,Neutron
8,3848,2528,Neutron
9,3848,2328,Neutron
10,3848,2472,Neutron
11,3848,1488,Gamma
12,3848,2520,Neutron
13,3848,2320,Neutron
14,3848,2448,Neutron
15,2744,1056,Gamma
16,2744,1656,Neutron
17,2744,1768,Neutron
18,2488,1648,Neutron
19,2488,992,Gamma
20,1256,816,Neutron
21,1256,760,Neutron
22,1256,768,Neutron
23,1256,480,Gamma
24,1256,460,Gamma
25,1256,472,Gamma
26,1256,496,Gamma
27,1256,480,Gamma
28,1256,884,Neutron
29,1256,452,Gamma
30,1256,424,Gamma
31,8776,3376,Gamma
32,8776,3216,Gamma
33,8776,3496,Gamma
34,8776,3340,Gamma
35,8776,3480,Gamma
36,8776,3384,Gamma
37,3424,2088,Neutron
38,3424,2200,Neutron
39,3424,2140,Neutron
40,3424,2104,Neutron
41,3424,2224,Neutron
42,816,316,Gamma
43,816,512,Neutron
44,816,492,Neutron
45,816,504,Neutron
46,816,504,Neutron
47,816,248,Gamma
48,816,512,Neutron
49,816,528,Neutron
50,816,512,Neutron
51,816,320,Gamma
52,816,296,Gamma
53,816,544,Neutron
54,816,312,Gamma
55,816,512,Neutron
56,816,504,Neutron
57,816,500,Neutron
58,816,304,Gamma
59,816,496,Neutron
60,816,312,Gamma
61,816,532,Neutron
62,816,296,Gamma
63,816,496,Neutron
64,816,304,Gamma
65,816,512,Neutron
66,816,524,Neutron
67,816,536,Neutron
68,816,272,Gamma
69,816,324,Gamma
70,816,516,Neutron
71,816,284,Gamma
72,816,320,Gamma
73,816,320,Gamma
74,816,320,Gamma
75,816,536,Neutron
76,816,304,Gamma
77,816,320,Gamma
78,1192,432,Gamma
79,1192,352,Gamma
80,1192,472,Gamma
81,1192,720,Neutron
82,1192,472,Gamma
83,1192,456,Gamma
84,1192,784,Neutron
85,1192,424,Gamma
86,1192,716,Neutron
87,1192,372,Gamma
88,1192,476,Gamma
89,1192,716,Neutron
90,1192,724,Neutron
91,1192,732,Neutron
92,1192,720,Neutron
93,1192,408,Gamma
94,1192,748,Neutron
95,1192,400,Gamma
96,1192,728,Neutron
97,1192,736,Neutron
98,1192,424,Gamma
99,1192,760,Neutron
100,1192,456,Gamma
101,1192,464,Gamma
102,1192,744,Neutron
103,1192,728,Neutron
104,1192,464,Gamma
105,1192,456,Gamma
106,1192,784,Neutron
107,1192,456,Gamma
108,1192,464,Gamma
109,2664,1704,Neutron
110,2664,1012,Gamma
111,2664,1712,Neutron
112,2664,1056,Gamma
113,2664,1760,Neutron
114,2664,1024,Gamma
115,2664,1680,Neutron
116,2664,1752,Neutron
117,2664,1728,Neutron
118,800,300,Gamma
119,800,296,Gamma
120,800,280,Gamma
121,800,528,Neutron
122,800,296,Gamma
123,800,312,Gamma
124,800,248,Gamma
125,800,280,Gamma
126,800,296,Gamma
127,800,304,Gamma
128,800,316,Gamma
129,800,512,Neutron
130,800,484,Neutron
131,800,304,Gamma
132,800,500,Neutron
133,800,272,Gamma
134,800,516,Neutron
135,800,496,Neutron
136,800,488,Neutron
137,800,492,Neutron
138,800,484,Neutron
139,800,496,Neutron
140,800,500,Neutron
141,800,288,Gamma
142,800,488,Neutron
143,800,304,Gamma
144,800,280,Gamma
145,800,288,Gamma
146,800,512,Neutron
147,1176,768,Neutron
148,1176,416,Gamma
149,1176,720,Neutron
150,1176,444,Gamma
